close,time
58443.02,2021-11-20 05:50:00
58450.78,2021-11-20 05:51:00
58465.76,2021-11-20 05:52:00
58407.61,2021-11-20 05:53:00
58394.99,2021-11-20 05:54:00
58388.37,2021-11-20 05:55:00
58369.92,2021-11-20 05:56:00
58349.92,2021-11-20 05:57:00
58408.14,2021-11-20 05:58:00
58400.07,2021-11-20 05:59:00
58413.9,2021-11-20 06:00:00
58424.09,2021-11-20 06:01:00
58401.98,2021-11-20 06:02:00
58372.08,2021-11-20 06:03:00
58356.99,2021-11-20 06:04:00
58392.08,2021-11-20 06:05:00
58322.78,2021-11-20 06:06:00
58362.47,2021-11-20 06:07:00
58394.45,2021-11-20 06:08:00
58369.85,2021-11-20 06:09:00
58383.76,2021-11-20 06:10:00
58406.29,2021-11-20 06:11:00
58430.12,2021-11-20 06:12:00
58440.0,2021-11-20 06:13:00
58462.73,2021-11-20 06:14:00
58470.0,2021-11-20 06:15:00
58515.35,2021-11-20 06:16:00
58506.59,2021-11-20 06:17:00
58512.0,2021-11-20 06:18:00
58500.01,2021-11-20 06:19:00
58522.45,2021-11-20 06:20:00
58672.83,2021-11-20 06:21:00
58721.21,2021-11-20 06:22:00
58735.59,2021-11-20 06:23:00
58762.57,2021-11-20 06:24:00
58698.59,2021-11-20 06:25:00
58652.01,2021-11-20 06:26:00
58628.06,2021-11-20 06:27:00
58626.42,2021-11-20 06:28:00
58616.98,2021-11-20 06:29:00
58692.63,2021-11-20 06:30:00
58676.02,2021-11-20 06:31:00
58710.73,2021-11-20 06:32:00
58799.99,2021-11-20 06:33:00
58718.4,2021-11-20 06:34:00
58678.99,2021-11-20 06:35:00
58584.17,2021-11-20 06:36:00
58643.47,2021-11-20 06:37:00
58593.96,2021-11-20 06:38:00
58581.86,2021-11-20 06:39:00
58532.83,2021-11-20 06:40:00
58554.42,2021-11-20 06:41:00
58582.72,2021-11-20 06:42:00
58573.71,2021-11-20 06:43:00
58529.01,2021-11-20 06:44:00
58511.14,2021-11-20 06:45:00
58486.34,2021-11-20 06:46:00
58479.85,2021-11-20 06:47:00
58456.53,2021-11-20 06:48:00
58473.01,2021-11-20 06:49:00
58429.0,2021-11-20 06:50:00
58570.26,2021-11-20 06:51:00
58627.27,2021-11-20 06:52:00
58582.99,2021-11-20 06:53:00
58596.82,2021-11-20 06:54:00
58579.1,2021-11-20 06:55:00
58595.38,2021-11-20 06:56:00
58638.9,2021-11-20 06:57:00
58636.09,2021-11-20 06:58:00
58635.06,2021-11-20 06:59:00
58585.45,2021-11-20 07:00:00
58594.59,2021-11-20 07:01:00
58579.81,2021-11-20 07:02:00
58593.8,2021-11-20 07:03:00
58591.44,2021-11-20 07:04:00
58601.14,2021-11-20 07:05:00
58620.75,2021-11-20 07:06:00
58624.93,2021-11-20 07:07:00
58625.4,2021-11-20 07:08:00
58629.95,2021-11-20 07:09:00
58628.95,2021-11-20 07:10:00
58680.21,2021-11-20 07:11:00
58680.02,2021-11-20 07:12:00
58661.02,2021-11-20 07:13:00
58659.98,2021-11-20 07:14:00
58640.02,2021-11-20 07:15:00
58607.51,2021-11-20 07:16:00
58628.02,2021-11-20 07:17:00
58630.99,2021-11-20 07:18:00
58595.7,2021-11-20 07:19:00
58589.69,2021-11-20 07:20:00
58567.28,2021-11-20 07:21:00
58554.49,2021-11-20 07:22:00
58554.51,2021-11-20 07:23:00
58514.57,2021-11-20 07:24:00
58508.09,2021-11-20 07:25:00
58484.96,2021-11-20 07:26:00
58456.3,2021-11-20 07:27:00
58469.63,2021-11-20 07:28:00
58458.3,2021-11-20 07:29:00
58467.48,2021-11-20 07:30:00
58499.34,2021-11-20 07:31:00
58485.22,2021-11-20 07:32:00
58483.53,2021-11-20 07:33:00
58453.36,2021-11-20 07:34:00
58442.7,2021-11-20 07:35:00
58460.49,2021-11-20 07:36:00
58513.69,2021-11-20 07:37:00
58538.55,2021-11-20 07:38:00
58529.74,2021-11-20 07:39:00
58505.98,2021-11-20 07:40:00
58528.77,2021-11-20 07:41:00
58533.36,2021-11-20 07:42:00
58542.61,2021-11-20 07:43:00
58543.0,2021-11-20 07:44:00
58485.57,2021-11-20 07:45:00
58400.49,2021-11-20 07:46:00
58380.79,2021-11-20 07:47:00
58418.35,2021-11-20 07:48:00
58440.45,2021-11-20 07:49:00
58436.82,2021-11-20 07:50:00
58411.93,2021-11-20 07:51:00
58400.3,2021-11-20 07:52:00
58409.2,2021-11-20 07:53:00
58353.19,2021-11-20 07:54:00
58356.74,2021-11-20 07:55:00
58367.79,2021-11-20 07:56:00
58386.69,2021-11-20 07:57:00
58371.17,2021-11-20 07:58:00
58380.06,2021-11-20 07:59:00
58371.04,2021-11-20 08:00:00
58363.06,2021-11-20 08:01:00
58379.22,2021-11-20 08:02:00
58386.47,2021-11-20 08:03:00
58407.83,2021-11-20 08:04:00
58392.09,2021-11-20 08:05:00
58396.03,2021-11-20 08:06:00
58386.39,2021-11-20 08:07:00
58343.42,2021-11-20 08:08:00
58355.23,2021-11-20 08:09:00
58331.34,2021-11-20 08:10:00
58332.7,2021-11-20 08:11:00
58337.54,2021-11-20 08:12:00
58345.51,2021-11-20 08:13:00
58400.08,2021-11-20 08:14:00
58404.21,2021-11-20 08:15:00
58357.54,2021-11-20 08:16:00
58430.92,2021-11-20 08:17:00
58428.22,2021-11-20 08:18:00
58415.0,2021-11-20 08:19:00
58431.35,2021-11-20 08:20:00
58425.96,2021-11-20 08:21:00
58421.3,2021-11-20 08:22:00
58424.61,2021-11-20 08:23:00
58430.17,2021-11-20 08:24:00
58464.98,2021-11-20 08:25:00
58478.0,2021-11-20 08:26:00
58499.99,2021-11-20 08:27:00
58480.97,2021-11-20 08:28:00
58474.04,2021-11-20 08:29:00
58498.02,2021-11-20 08:30:00
58539.57,2021-11-20 08:31:00
58531.77,2021-11-20 08:32:00
58495.74,2021-11-20 08:33:00
58491.23,2021-11-20 08:34:00
58487.28,2021-11-20 08:35:00
58450.86,2021-11-20 08:36:00
58520.36,2021-11-20 08:37:00
58526.13,2021-11-20 08:38:00
58592.89,2021-11-20 08:39:00
58562.83,2021-11-20 08:40:00
58596.3,2021-11-20 08:41:00
58637.96,2021-11-20 08:42:00
58593.01,2021-11-20 08:43:00
58606.19,2021-11-20 08:44:00
58576.33,2021-11-20 08:45:00
58561.95,2021-11-20 08:46:00
58520.95,2021-11-20 08:47:00
58528.59,2021-11-20 08:48:00
58500.84,2021-11-20 08:49:00
58601.55,2021-11-20 08:50:00
58581.39,2021-11-20 08:51:00
58596.44,2021-11-20 08:52:00
58591.55,2021-11-20 08:53:00
58590.4,2021-11-20 08:54:00
58531.52,2021-11-20 08:55:00
58512.91,2021-11-20 08:56:00
58504.54,2021-11-20 08:57:00
58484.16,2021-11-20 08:58:00
58461.93,2021-11-20 08:59:00
58454.98,2021-11-20 09:00:00
58461.2,2021-11-20 09:01:00
58512.85,2021-11-20 09:02:00
58525.05,2021-11-20 09:03:00
58558.0,2021-11-20 09:04:00
58538.63,2021-11-20 09:05:00
58545.63,2021-11-20 09:06:00
58575.94,2021-11-20 09:07:00
58569.53,2021-11-20 09:08:00
58587.57,2021-11-20 09:09:00
58580.38,2021-11-20 09:10:00
58566.71,2021-11-20 09:11:00
58647.59,2021-11-20 09:12:00
58606.57,2021-11-20 09:13:00
58607.95,2021-11-20 09:14:00
58580.18,2021-11-20 09:15:00
58566.29,2021-11-20 09:16:00
58538.23,2021-11-20 09:17:00
58537.76,2021-11-20 09:18:00
58519.73,2021-11-20 09:19:00
58526.11,2021-11-20 09:20:00
58504.95,2021-11-20 09:21:00
58495.2,2021-11-20 09:22:00
58504.53,2021-11-20 09:23:00
58490.06,2021-11-20 09:24:00
58451.78,2021-11-20 09:25:00
58451.48,2021-11-20 09:26:00
58455.98,2021-11-20 09:27:00
58437.78,2021-11-20 09:28:00
58414.97,2021-11-20 09:29:00
58380.12,2021-11-20 09:30:00
58393.53,2021-11-20 09:31:00
58385.14,2021-11-20 09:32:00
58392.67,2021-11-20 09:33:00
58385.64,2021-11-20 09:34:00
58403.47,2021-11-20 09:35:00
58400.04,2021-11-20 09:36:00
58400.04,2021-11-20 09:37:00
58451.46,2021-11-20 09:38:00
58434.8,2021-11-20 09:39:00
58465.68,2021-11-20 09:40:00
58437.63,2021-11-20 09:41:00
58446.36,2021-11-20 09:42:00
58485.36,2021-11-20 09:43:00
58529.56,2021-11-20 09:44:00
58510.06,2021-11-20 09:45:00
58504.36,2021-11-20 09:46:00
58501.21,2021-11-20 09:47:00
58538.84,2021-11-20 09:48:00
58545.96,2021-11-20 09:49:00
58546.86,2021-11-20 09:50:00
58538.82,2021-11-20 09:51:00
58536.01,2021-11-20 09:52:00
58532.65,2021-11-20 09:53:00
58531.42,2021-11-20 09:54:00
58555.6,2021-11-20 09:55:00
58559.99,2021-11-20 09:56:00
58563.62,2021-11-20 09:57:00
58502.23,2021-11-20 09:58:00
58490.19,2021-11-20 09:59:00
58426.0,2021-11-20 10:00:00
58399.76,2021-11-20 10:01:00
58375.68,2021-11-20 10:02:00
58353.82,2021-11-20 10:03:00
58405.57,2021-11-20 10:04:00
58414.36,2021-11-20 10:05:00
58415.5,2021-11-20 10:06:00
58465.27,2021-11-20 10:07:00
58454.41,2021-11-20 10:08:00
58437.76,2021-11-20 10:09:00
58450.91,2021-11-20 10:10:00
58440.93,2021-11-20 10:11:00
58430.02,2021-11-20 10:12:00
58442.39,2021-11-20 10:13:00
58487.29,2021-11-20 10:14:00
58489.81,2021-11-20 10:15:00
58544.97,2021-11-20 10:16:00
58593.61,2021-11-20 10:17:00
58589.67,2021-11-20 10:18:00
58613.2,2021-11-20 10:19:00
58609.55,2021-11-20 10:20:00
58611.4,2021-11-20 10:21:00
58652.27,2021-11-20 10:22:00
58650.01,2021-11-20 10:23:00
58639.6,2021-11-20 10:24:00
58619.1,2021-11-20 10:25:00
58601.76,2021-11-20 10:26:00
58653.36,2021-11-20 10:27:00
58652.0,2021-11-20 10:28:00
58663.36,2021-11-20 10:29:00
58649.0,2021-11-20 10:30:00
58713.99,2021-11-20 10:31:00
58733.84,2021-11-20 10:32:00
58632.69,2021-11-20 10:33:00
58573.51,2021-11-20 10:34:00
58542.98,2021-11-20 10:35:00
58511.47,2021-11-20 10:36:00
58480.44,2021-11-20 10:37:00
58513.97,2021-11-20 10:38:00
58493.3,2021-11-20 10:39:00
58509.6,2021-11-20 10:40:00
58539.32,2021-11-20 10:41:00
58588.26,2021-11-20 10:42:00
58584.39,2021-11-20 10:43:00
58550.84,2021-11-20 10:44:00
58556.27,2021-11-20 10:45:00
58518.04,2021-11-20 10:46:00
58492.6,2021-11-20 10:47:00
58471.1,2021-11-20 10:48:00
58469.0,2021-11-20 10:49:00
58447.71,2021-11-20 10:50:00
58414.0,2021-11-20 10:51:00
58422.94,2021-11-20 10:52:00
58428.81,2021-11-20 10:53:00
58445.02,2021-11-20 10:54:00
58496.28,2021-11-20 10:55:00
58471.31,2021-11-20 10:56:00
58478.38,2021-11-20 10:57:00
58495.45,2021-11-20 10:58:00
58479.5,2021-11-20 10:59:00
58503.84,2021-11-20 11:00:00
58508.06,2021-11-20 11:01:00
58540.74,2021-11-20 11:02:00
58546.81,2021-11-20 11:03:00
58504.39,2021-11-20 11:04:00
58532.06,2021-11-20 11:05:00
58504.22,2021-11-20 11:06:00
58521.66,2021-11-20 11:07:00
58524.64,2021-11-20 11:08:00
58555.98,2021-11-20 11:09:00
58556.23,2021-11-20 11:10:00
58525.11,2021-11-20 11:11:00
58528.56,2021-11-20 11:12:00
58528.82,2021-11-20 11:13:00
58577.46,2021-11-20 11:14:00
58486.65,2021-11-20 11:15:00
