Close,Date
465.99,2014-08-19 00:07:00
486.61,2014-08-20 00:07:00
512.8,2014-08-21 00:07:00
517.9,2014-08-22 00:07:00
515.58,2014-08-23 00:07:00
499.5,2014-08-24 00:07:00
510.87,2014-08-25 00:07:00
501.49,2014-08-26 00:07:00
512.9,2014-08-27 00:07:00
508.01,2014-08-28 00:07:00
505.94,2014-08-29 00:07:00
508.25,2014-08-30 00:07:00
499.15,2014-08-31 00:07:00
477.0,2014-09-01 00:07:00
472.41,2014-09-02 00:07:00
474.41,2014-09-03 00:07:00
473.62,2014-09-04 00:07:00
490.98,2014-09-05 00:07:00
480.27,2014-09-06 00:07:00
483.06,2014-09-07 00:07:00
480.18,2014-09-08 00:07:00
471.06,2014-09-09 00:07:00
473.1,2014-09-10 00:07:00
478.1,2014-09-11 00:07:00
477.08,2014-09-12 00:07:00
473.99,2014-09-13 00:07:00
478.0,2014-09-14 00:07:00
477.3,2014-09-15 00:07:00
473.6,2014-09-16 00:07:00
467.0,2014-09-17 00:07:00
456.61,2014-09-18 00:07:00
424.3,2014-09-19 00:07:00
390.9,2014-09-20 00:07:00
411.06,2014-09-21 00:07:00
400.01,2014-09-22 00:07:00
404.25,2014-09-23 00:07:00
438.2,2014-09-24 00:07:00
424.8,2014-09-25 00:07:00
409.99,2014-09-26 00:07:00
404.01,2014-09-27 00:07:00
400.1,2014-09-28 00:07:00
376.23,2014-09-29 00:07:00
373.63,2014-09-30 00:07:00
387.34,2014-10-01 00:07:00
382.56,2014-10-02 00:07:00
370.53,2014-10-03 00:07:00
360.63,2014-10-04 00:07:00
328.7,2014-10-05 00:07:00
318.42,2014-10-06 00:07:00
328.02,2014-10-07 00:07:00
334.53,2014-10-08 00:07:00
355.0,2014-10-09 00:07:00
364.2,2014-10-10 00:07:00
358.39,2014-10-11 00:07:00
361.38,2014-10-12 00:07:00
375.99,2014-10-13 00:07:00
393.23,2014-10-14 00:07:00
400.2,2014-10-15 00:07:00
394.4,2014-10-16 00:07:00
380.3,2014-10-17 00:07:00
380.24,2014-10-18 00:07:00
390.9,2014-10-19 00:07:00
388.22,2014-10-20 00:07:00
380.56,2014-10-21 00:07:00
384.1,2014-10-22 00:07:00
379.0,2014-10-23 00:07:00
358.77,2014-10-24 00:07:00
356.83,2014-10-25 00:07:00
344.55,2014-10-26 00:07:00
352.0,2014-10-27 00:07:00
350.57,2014-10-28 00:07:00
353.11,2014-10-29 00:07:00
333.5,2014-10-30 00:07:00
345.0,2014-10-31 00:07:00
336.63,2014-11-01 00:07:00
325.21,2014-11-02 00:07:00
323.81,2014-11-03 00:07:00
324.49,2014-11-04 00:07:00
331.3,2014-11-05 00:07:00
338.14,2014-11-06 00:07:00
349.95,2014-11-07 00:07:00
342.18,2014-11-08 00:07:00
345.21,2014-11-09 00:07:00
361.43,2014-11-10 00:07:00
365.97,2014-11-11 00:07:00
369.8,2014-11-12 00:07:00
426.25,2014-11-13 00:07:00
420.01,2014-11-14 00:07:00
401.7,2014-11-15 00:07:00
374.61,2014-11-16 00:07:00
393.79,2014-11-17 00:07:00
387.1,2014-11-18 00:07:00
371.74,2014-11-19 00:07:00
377.1,2014-11-20 00:07:00
356.56,2014-11-21 00:07:00
349.26,2014-11-22 00:07:00
349.26,2014-11-23 00:07:00
349.26,2014-11-24 00:07:00
349.26,2014-11-25 00:07:00
349.26,2014-11-26 00:07:00
349.26,2014-11-27 00:07:00
349.26,2014-11-28 00:07:00
349.26,2014-11-29 00:07:00
349.26,2014-11-30 00:07:00
349.26,2014-12-01 00:07:00
349.26,2014-12-02 00:07:00
349.26,2014-12-03 00:07:00
349.26,2014-12-04 00:07:00
349.26,2014-12-05 00:07:00
349.26,2014-12-06 00:07:00
349.26,2014-12-07 00:07:00
349.26,2014-12-08 00:07:00
349.26,2014-12-09 00:07:00
349.26,2014-12-10 00:07:00
349.26,2014-12-11 00:07:00
349.26,2014-12-12 00:07:00
349.26,2014-12-13 00:07:00
349.26,2014-12-14 00:07:00
349.26,2014-12-15 00:07:00
349.26,2014-12-16 00:07:00
349.26,2014-12-17 00:07:00
349.26,2014-12-18 00:07:00
349.26,2014-12-19 00:07:00
349.26,2014-12-20 00:07:00
349.26,2014-12-21 00:07:00
349.26,2014-12-22 00:07:00
349.26,2014-12-23 00:07:00
349.26,2014-12-24 00:07:00
349.26,2014-12-25 00:07:00
349.26,2014-12-26 00:07:00
349.26,2014-12-27 00:07:00
349.26,2014-12-28 00:07:00
349.26,2014-12-29 00:07:00
349.26,2014-12-30 00:07:00
349.26,2014-12-31 00:07:00
320.18,2015-01-01 00:07:00
314.43,2015-01-02 00:07:00
315.27,2015-01-03 00:07:00
282.32,2015-01-04 00:07:00
265.54,2015-01-05 00:07:00
275.95,2015-01-06 00:07:00
286.8,2015-01-07 00:07:00
297.06,2015-01-08 00:07:00
282.16,2015-01-09 00:07:00
291.0,2015-01-10 00:07:00
275.69,2015-01-11 00:07:00
268.48,2015-01-12 00:07:00
268.55,2015-01-13 00:07:00
224.5,2015-01-14 00:07:00
181.55,2015-01-15 00:07:00
208.59,2015-01-16 00:07:00
208.51,2015-01-17 00:07:00
201.59,2015-01-18 00:07:00
212.0,2015-01-19 00:07:00
214.58,2015-01-20 00:07:00
212.3,2015-01-21 00:07:00
229.26,2015-01-22 00:07:00
234.0,2015-01-23 00:07:00
232.99,2015-01-24 00:07:00
247.88,2015-01-25 00:07:00
257.47,2015-01-26 00:07:00
276.99,2015-01-27 00:07:00
265.4,2015-01-28 00:07:00
234.0,2015-01-29 00:07:00
233.39,2015-01-30 00:07:00
226.25,2015-01-31 00:07:00
216.25,2015-02-01 00:07:00
226.31,2015-02-02 00:07:00
239.47,2015-02-03 00:07:00
228.16,2015-02-04 00:07:00
227.62,2015-02-05 00:07:00
216.6,2015-02-06 00:07:00
223.14,2015-02-07 00:07:00
229.16,2015-02-08 00:07:00
224.13,2015-02-09 00:07:00
220.01,2015-02-10 00:07:00
220.79,2015-02-11 00:07:00
219.24,2015-02-12 00:07:00
222.8,2015-02-13 00:07:00
237.0,2015-02-14 00:07:00
257.9,2015-02-15 00:07:00
235.67,2015-02-16 00:07:00
232.3,2015-02-17 00:07:00
243.73,2015-02-18 00:07:00
236.95,2015-02-19 00:07:00
240.81,2015-02-20 00:07:00
244.51,2015-02-21 00:07:00
246.0,2015-02-22 00:07:00
236.96,2015-02-23 00:07:00
240.14,2015-02-24 00:07:00
240.28,2015-02-25 00:07:00
237.98,2015-02-26 00:07:00
236.97,2015-02-27 00:07:00
254.99,2015-02-28 00:07:00
255.49,2015-03-01 00:07:00
262.14,2015-03-02 00:07:00
276.21,2015-03-03 00:07:00
283.42,2015-03-04 00:07:00
274.0,2015-03-05 00:07:00
276.91,2015-03-06 00:07:00
272.5,2015-03-07 00:07:00
276.99,2015-03-08 00:07:00
275.58,2015-03-09 00:07:00
291.6,2015-03-10 00:07:00
292.6,2015-03-11 00:07:00
296.75,2015-03-12 00:07:00
295.1,2015-03-13 00:07:00
283.5,2015-03-14 00:07:00
282.6,2015-03-15 00:07:00
286.8,2015-03-16 00:07:00
291.31,2015-03-17 00:07:00
284.4,2015-03-18 00:07:00
257.4,2015-03-19 00:07:00
261.49,2015-03-20 00:07:00
261.88,2015-03-21 00:07:00
260.48,2015-03-22 00:07:00
269.12,2015-03-23 00:07:00
266.89,2015-03-24 00:07:00
247.69,2015-03-25 00:07:00
246.29,2015-03-26 00:07:00
249.32,2015-03-27 00:07:00
246.6,2015-03-28 00:07:00
252.88,2015-03-29 00:07:00
242.91,2015-03-30 00:07:00
248.02,2015-03-31 00:07:00
244.59,2015-04-01 00:07:00
247.07,2015-04-02 00:07:00
253.33,2015-04-03 00:07:00
253.87,2015-04-04 00:07:00
253.73,2015-04-05 00:07:00
260.77,2015-04-06 00:07:00
255.83,2015-04-07 00:07:00
254.05,2015-04-08 00:07:00
244.73,2015-04-09 00:07:00
243.56,2015-04-10 00:07:00
236.0,2015-04-11 00:07:00
236.51,2015-04-12 00:07:00
236.38,2015-04-13 00:07:00
224.93,2015-04-14 00:07:00
219.82,2015-04-15 00:07:00
224.0,2015-04-16 00:07:00
228.3,2015-04-17 00:07:00
222.19,2015-04-18 00:07:00
